cladeA_351	c247_g1_i1
cladeA_352	c248_g1_i1
cladeA_353	c249_g1_i1
cladeA_354	c249_g1_i2
cladeA_355	c250_g1_i1
cladeA_356	c250_g1_i2
cladeA_357	c251_g1_i1
cladeA_358	c251_g1_i2
cladeA_359	c252_g1_i1
cladeA_360	c253_g1_i1
cladeA_361	c253_g1_i2
cladeA_362	c254_g1_i1
cladeA_363	c255_g1_i1
cladeA_364	c255_g1_i2
cladeA_365	c256_g1_i1
cladeA_366	c256_g1_i2
cladeA_367	c257_g1_i1
cladeA_368	c257_g1_i2
cladeA_369	c258_g1_i1
cladeA_370	c258_g1_i2
cladeA_371	c259_g1_i1
cladeA_372	c260_g1_i1
cladeA_373	c260_g1_i2
cladeA_374	c261_g1_i1
cladeA_375	c262_g1_i1
cladeA_376	c262_g1_i2
cladeA_377	c263_g1_i1
cladeA_378	c263_g1_i2
cladeA_379	c264_g1_i1
cladeA_380	c265_g1_i1
cladeA_381	c266_g1_i1
cladeA_382	c267_g1_i1
cladeA_383	c267_g1_i2
cladeA_384	c268_g1_i1
cladeA_385	c269_g1_i1
cladeA_386	c270_g1_i1
cladeA_387	c270_g1_i2
cladeA_388	c271_g1_i1
cladeA_389	c272_g1_i1
cladeA_390	c273_g1_i1
cladeA_391	c274_g1_i1
cladeA_392	c275_g1_i1
cladeA_393	c276_g1_i1
cladeA_394	c276_g1_i2
cladeA_395	c277_g1_i1
cladeA_396	c278_g1_i1
cladeA_397	c278_g1_i2
cladeA_398	c279_g1_i1
cladeA_399	c279_g1_i2
cladeA_400	c280_g1_i1
cladeA_401	c280_g1_i2
cladeA_402	c281_g1_i1
cladeA_403	c282_g1_i1
cladeA_404	c283_g1_i1
cladeA_405	c284_g1_i1
cladeA_406	c285_g1_i1
cladeA_407	c285_g1_i2
cladeA_408	c286_g1_i1
cladeA_409	c287_g1_i1
cladeA_410	c287_g1_i2
cladeA_411	c288_g1_i1
cladeA_412	c289_g1_i1
cladeA_413	c290_g1_i1
cladeA_414	c291_g1_i1
cladeA_415	c291_g1_i2
cladeA_416	c292_g1_i1
cladeA_417	c293_g1_i1
cladeA_418	c294_g1_i1
cladeA_419	c294_g1_i2
cladeA_420	c295_g1_i1
cladeA_421	c295_g1_i2
cladeA_422	c296_g1_i1
cladeA_423	c297_g1_i1
cladeA_424	c298_g1_i1
cladeA_425	c299_g1_i1
cladeA_426	c299_g1_i2
