cladeB_304	comp711_c0_seq1
cladeB_305	comp712_c0_seq1
cladeB_306	comp713_c0_seq1
cladeB_307	comp714_c0_seq1
cladeB_308	comp715_c0_seq1
cladeB_309	comp717_c0_seq1
cladeB_310	comp721_c0_seq1
cladeB_311	comp722_c0_seq1
cladeB_312	comp725_c0_seq1
cladeB_313	comp729_c0_seq1
cladeB_314	comp730_c0_seq1
cladeB_315	comp731_c0_seq1
cladeB_316	comp734_c0_seq1
cladeB_317	comp735_c0_seq1
cladeB_318	comp736_c0_seq1
cladeB_319	comp737_c0_seq1
cladeB_320	comp740_c0_seq1
cladeB_321	comp745_c0_seq1
cladeB_322	comp746_c0_seq1
cladeB_323	comp750_c0_seq1
cladeB_324	comp751_c0_seq1
cladeB_325	comp758_c0_seq2
cladeB_326	comp759_c0_seq1
cladeB_327	comp763_c0_seq1
cladeB_328	comp764_c0_seq1
cladeB_329	comp768_c0_seq1
cladeB_330	comp769_c0_seq1
cladeB_331	comp770_c0_seq2
cladeB_332	comp772_c0_seq1
cladeB_333	comp773_c0_seq1
cladeB_334	comp774_c0_seq1
cladeB_335	comp776_c0_seq1
cladeB_336	comp777_c0_seq1
cladeB_337	comp778_c0_seq1
cladeB_338	comp780_c0_seq1
cladeB_339	comp781_c0_seq1
cladeB_340	comp783_c0_seq1
cladeB_341	comp785_c0_seq1
cladeB_342	comp786_c0_seq1
cladeB_343	comp787_c0_seq1
cladeB_344	comp790_c0_seq1
cladeB_345	comp791_c0_seq1
cladeB_346	comp792_c0_seq1
cladeB_347	comp793_c0_seq1
cladeB_348	comp795_c0_seq1
cladeB_349	comp796_c0_seq1
cladeB_350	comp802_c0_seq1
cladeB_351	comp803_c0_seq1
cladeB_352	comp807_c0_seq1
cladeB_353	comp808_c0_seq1
cladeB_354	comp812_c0_seq1
cladeB_355	comp815_c0_seq1
cladeB_356	comp818_c0_seq1
cladeB_357	comp819_c0_seq1
cladeB_358	comp823_c0_seq1
cladeB_359	comp829_c0_seq1
cladeB_360	comp833_c0_seq1
cladeB_361	comp836_c0_seq1
cladeB_362	comp842_c0_seq1
cladeB_363	comp844_c0_seq2
cladeB_364	comp845_c0_seq1
cladeB_365	comp846_c0_seq1
cladeB_366	comp847_c0_seq2
cladeB_367	comp848_c0_seq1
cladeB_368	comp853_c0_seq1
cladeB_369	comp855_c0_seq1
cladeB_370	comp860_c0_seq1
cladeB_371	comp861_c0_seq1
cladeB_372	comp864_c0_seq1
cladeB_373	comp866_c0_seq1
cladeB_374	comp867_c0_seq1
cladeB_375	comp871_c0_seq1
cladeB_376	comp872_c0_seq1
cladeB_377	comp873_c0_seq1
cladeB_378	comp874_c0_seq1
cladeB_379	comp876_c0_seq1
cladeB_380	comp877_c0_seq1
cladeB_381	comp879_c0_seq1
cladeB_382	comp886_c0_seq1
cladeB_383	comp887_c0_seq1
cladeB_384	comp891_c0_seq1
cladeB_385	comp892_c0_seq1
cladeB_386	comp893_c0_seq1
